Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Field Is Lethal,"Doppelt, Suzanne","Swensen, Cole",Poetry,Dec,2010,French,France,Undirected
Einstein Enigma,"dos Santos, Joses Rodrigues","Carter, Lisa",Fiction,Sept,2010,Portuguese,Portugal,Undirected
Hilda Hurricane,"Drummond, Roberto","Vaudry-Brown, Peter",Fiction,Sept,2010,Portuguese,Brazil,Undirected
Complete Poems,"du Guillet, Pernette","Finch, Marta Rijn",Poetry,Aug,2010,French,France,Undirected
Diver,"DuMont, Alfred Neven","Dollenmayer, David",Fiction,Dec,2010,German,Germany,Undirected
Snow Plain: Selected Stories,"Duo, Duo","Crespi, John",Fiction,Sept,2010,Chinese,China,Undirected
Possible Is Monstrous,"Durrenmatt, Friedrich","Pantano, Daniele",Poetry,Sept,2010,German,Switzerland,Undirected
Diary of an Innocent,"Duvert, Tony","Benderson, Bruce",Fiction,Oct,2010,French,France,Undirected
Shadow Woman,"Edwardson, Ake","Carlsson, Per",Fiction,Oct,2010,Swedish,Sweden,Undirected
Drumbeat,"El-Bisatie, Mohamed","Daniel, Peter",Fiction,Apr,2010,Arabic,Egypt,Undirected
Zone,"Enard, Mathias","Mandell, Charlotte",Fiction,Dec,2010,French,France,Undirected
Counterpoint,"Enquist, Anna","Ringold, Jeannette",Fiction,Apr,2010,Dutch,Netherlands,Undirected
Blue Has No South,"Epstein, Alex","McKay, Becka Mara",Fiction,Apr,2010,Hebrew,Israel,Undirected
Rosestrikes and Coffee Grinds,"Erozcelik, Seyhan","Nemet-Nejat, Murat",Poetry,Nov,2010,Turkish,Turkey,Undirected
Visitation,"Erpenbeck, Jenny","Bernofsky, Susan",Fiction,Sept,2010,German,Germany,Undirected
Lend Me Your Voice,"Espmark, Kjell","Fulton, Robin",Poetry,Dec,2010,Swedish,Sweden,Undirected
Not Art,"Esterhazy, Peter","Sollosy, Judith",Fiction,Mar,2010,Hungarian,Hungary,Undirected
American Girl,"Fagerholm, Monika","Tucker, Katarina",Fiction,Feb,2010,Swedish,Sweden,Undirected
Three Sisters,"Feiyu, Bi","Goldblatt, Howard",Fiction,Aug,2010,Chinese,China,Undirected
Zulu,"Ferey, Caryl","Curtis, Howard",Fiction,Apr,2010,French,France,Undirected
Museum of Eterna's Novel,"Fernandez, Macedonio","Schwartz, Margaret",Fiction,Feb,2010,Spanish,Argentina,Undirected
Cecilia,"Ferri, Linda","Goldstein, Ann",Fiction,Apr,2010,Italian,Italy,Undirected
Swing in the Middle of Chaos,"Fischerova, Sylva","Fischerova, Sylva",Poetry,June,2010,Czech,Czech Republic,Undirected
Sarinagara,"Forest, Philippe","Torracinta, Pascale",Fiction,Jan,2010,French,France,Undirected
Aliss at the Fire,"Fosse, Jon","Searls, Damion",Fiction,Sept,2010,Norwegian,Norway,Undirected
Broken,"Fossum, Karin","Barslund, Charlotte",Fiction,Aug,2010,Norwegian,Norway,Undirected
Blindness of the Heart,"Franck, Julia","Bell, Anthea",Fiction,Oct,2010,German,Germany,Undirected
Every House Needs a Balcony,"Frank, Rina","Cummings, Ora",Fiction,June,2010,Hebrew,Israel,Undirected
Creaturing,"Fratus, Tiziano","Levato, Francesco",Poetry,Apr,2010,Italian,Italy,Undirected
Botanical Garden,"Fremon, Jean","Evenson, Brian",Fiction,Dec,2010,French,France,Undirected
Stone Cell,"Fu, Lo","Balcom, John",Poetry,July,2010,Chinese,China,Undirected
Hate: A Romance,"Garcia, Tristan","Duvert, Marion",Fiction,Nov,2010,French,France,Undirected
Hocus Bogus,"Gary, Romain","Bellos, David",Fiction,Mar,2010,French,France,Undirected
Almost Dead,"Gavron, Assaf","Lever, James",Fiction,Apr,2010,Hebrew,Israel,Undirected
Between Words,"Gelman, Juan","Bradford, Lisa",Poetry,Oct,2010,Spanish,Argentina,Undirected
Commentaries and Citations,"Gelman, Juan","Bradford, Lisa",Poetry,Oct,2010,Spanish,Argentina,Undirected
Solitude of Prime Numbers,"Giaordano, Paolo","Whiteside, Shaun",Fiction,Mar,2010,Italian,Italy,Undirected
History of Violets,"Giorgio, Marosa di","Pitas, Jeannine Marie",Poetry,Nov,2010,Spanish,Uruguay,Undirected
Moses Expedition,"Gomez-Jurado, Juan","Lebron, A.V.",Fiction,Mar,2010,Spanish,Spain,Undirected
Hold on to the Sun,"Govrin, Michal","Govrin, Michal",Fiction,Nov,2010,Hebrew,Israel,Undirected
Box,"Grass, Gunter","Winston, Krishna",Fiction,Nov,2010,German,Germany,Undirected
To the End of the Land,"Grossman, David","Cohen, Jessica",Fiction,Sept,2010,Hebrew,Israel,Undirected
Geometries,"Guillevic, Eugene","Sieburth, Richard",Poetry,June,2010,French,France,Undirected
Conqueror,"Gursel, Nedim","Demir, Yavuz",Fiction,Jan,2010,Turkish,Turkey,Undirected
Summer without Dawn,"Hacikyan, Agop","Joyce Bailey, Christina Le Vernoy",Fiction,Mar,2010,French,Quebec,Undirected
Wedding at Auschwitz,"Hackl, Erich","Chalmers, Martin",Fiction,Apr,2010,German,Austria,Undirected
Lie,"Hammesfahr, Petra","Mitchell, Mike",Fiction,Apr,2010,German,Germany,Undirected
Don Juan,"Handke, Peter","Winston, Krishna",Fiction,Feb,2010,German,Austria,Undirected
Till Day You Do Part or A Question of Light,"Handke, Peter","Mitchell, Mike",Fiction,Dec,2010,French,Austria,Undirected
It Will Return,"Hartwig, Julia","Carpenter, John",Poetry,Apr,2010,Polish,Poland,Undirected
Am I a Redundant Human Being?,"Hartwig, Mela","Pierce, Kerri",Fiction,Aug,2010,German,Austria,Undirected
Ouroboros Wave,"Hayashi, Jyouji","Hubbert, Jim",Fiction,Nov,2010,Japanese,Japan,Undirected
Eden,"Hedaya, Yael","Cohen, Jessica",Fiction,Nov,2010,Hebrew,Israel,Undirected
Gush,"Hemmi, Yo","Murray, Giles",Fiction,Aug,2010,Japanese,Japan,Undirected
Best European Fiction,"Hemon, Aleksandar","various, various",Fiction,Jan,2010,Various,Various,Undirected
Tulip Virus,"Hermans, Danielle","MacKay, David",Fiction,Apr,2010,Dutch,Netherlands,Undirected
Isle of Dreams,"Hino, Keizo","Wolf, Charles de",Fiction,Dec,2010,Japanese,Japan,Undirected
Conditions of Light,"Hocquard, Emmanuel","Poucel, Jean-Jacques",Poetry,May,2010,French,France,Undirected
Lonely Hearts Killer,"Hoshino, Tomoyuki","Hurley, Adrienne Carey",Fiction,Mar,2010,Japanese,Japan,Undirected
Vita Nuova,"Hrabal, Bohumil","Liman, Tony",Fiction,May,2010,Czech,Czech Republic,Undirected
Story of My Voice,"Huttin, Genevieve","Telford, Bradford Gray",Poetry,May,2010,French,France,Undirected
Fireflies in the Mist,"Hyder, Qurratulain","Hyder, Qurratulain",Fiction,Sept,2010,Urdu,India,Undirected
Long Road,"In-Suk, Kim","Epstein, Stephen",Fiction,Apr,2010,Korean,South Korea,Undirected
Hypothermia,"Indridason, Arnaldur","Cribb, Victoria",Fiction,Sept,2010,Icelandic,Iceland,Undirected
Kyra Kyralina,"Istrati, Panait","Sawyer-Laucanno, Christopher",Poetry,Apr,2010,Romanian,Romania,Undirected
Harmony,"Itoh, Project","Smith, Alexander",Fiction,July,2010,Japanese,Japan,Undirected
Director's Cut,"Japin, Arthur","Colmer, David",Fiction,Feb,2010,Dutch,Netherlands,Undirected
Miral,"Jebreal, Rula","Cullen, John",Fiction,Sept,2010,Italian,Israel,Undirected
Rising of the Ashes,"Jelloun, Tahar Ben","Goldblatt, Cullen",Poetry,Mar,2010,French,Morocco,Undirected
Flash Cards,"Jian, Yu","Ping, Wang",Poetry,Oct,2010,Chinese,China,Undirected
Caribbean African upon Awakening,"Jimenez, Blas","Tillis, Antonio",Poetry,May,2010,Spanish,Dominican Republic,Undirected
Distant Sound,"Jonke, Gert","Snook, Jean",Fiction,May,2010,German,Austria,Undirected
Accident,"Kadare, Ismail","Hodgson, John",Fiction,Nov,2010,Albanian,Albania,Undirected
Eighth Day,"Kakuta, Mitsuyo","Mitsutani, Margaret",Fiction,May,2010,Japanese,Japan,Undirected
Yukikaze,"Kambayashi, Chohei","Nadelman, Neil",Fiction,Jan,2010,Japanese,Japan,Undirected
Ecco Anthology of International Poetry,"Kaminsky, Ilya","various, various",Poetry,Mar,2010,Various,Various,Undirected
Unknown Places,"Kantor, Peter","Blumenthal, Michael",Poetry,May,2010,Hungarian,Hungary,Undirected
Sleepwalker,"Karapanou, Margarita","Emmerich, Karen",Fiction,Sept,2010,Greek,Greece,Undirected
Swell,"Karystiani, Ioanna","Matsoukas, Konstantine",Fiction,Feb,2010,Greek,Greece,Undirected
Manazuru,"Kawakami, Hiromi","Emmerich, Michael",Fiction,Sept,2010,Japanese,Japan,Undirected
Time of Sky & Castle in the Air,"Kawata, Ayane","Nakayasu, Sawako",Poetry,May,2010,Japanese,Japan,Undirected
Fame,"Kehlmann, Daniel","Janeway, Carol Brown",Fiction,Sept,2010,German,Germany,Undirected
Comedy in a Minor Key,"Keilson, Hans","Searls, Damion",Fiction,July,2010,German,Germany,Undirected
Union Jack,"Kertesz, Imre","Wilkinson, Tim",Fiction,Jan,2010,Hungarian,Hungary,Undirected
Blaft Anthology of Tamil Pulp Fiction: Volume 2,"Khanna, Rakesh","Chakravarthy, Pritham",Fiction,Oct,2010,Tamil,India,Undirected
White Masks,"Khoury, Elias","Tabet, Maia",Fiction,Apr,2010,Arabic,Lebanon,Undirected
Clash of Images,"Kilito, Abdelfattah","Creswell, Robyn",Fiction,Sept,2010,French,Morocco,Undirected
Curious Tale of Mandogi's Ghost,"Kim, Sok-pom","Textor, Cindi",Fiction,Sept,2010,Japanese,Japan,Undirected
Your Republic Is Calling You,"Kim, Young-ha","Kim, Chi-Young",Fiction,Sept,2010,Korean,South Korea,Undirected
Flower and Song: Poems of the Aztec Peoples,"Kissam, Edward","Schmidt, Michael",Poetry,Sept,2010,Spanish,Mexico,Undirected
Selected Prose,"Kleist, Heinrich von","Wortsman, Peter",Fiction,Jan,2010,German,Germany,Undirected
"Look Back, Look Ahead","Kosovel, Srecko","Carlson, Barbara Siegel",Poetry,Mar,2010,Slovenian,Slovenia,Undirected
Skylark,"Kosztolanyi, Dezso","Aczel, Richard",Fiction,Mar,2010,Hungarian,Hungary,Undirected
Voices from the Bitter Core,"Krechel, Ursula","Strawser, Amy Kepple",Poetry,July,2010,German,Germany,Undirected
Like Things Made of Clay,"Kunze, Reiner","Dove, Richard",Poetry,Jan,2010,German,Germany,Undirected
Loups-Garous,"Kyogoku, Natsuhiko","Ishii, Anne",Fiction,May,2010,Japanese,Japan,Undirected
Ice Princess,"Lackberg, Camilla","Murray, Steven",Fiction,June,2010,Swedish,Sweden,Undirected
Heading South,"Laferriere, Dany","Grady, Wayne",Fiction,Sept,2010,French,Haiti,Undirected
Girl Who Kicked the Hornet's Nest,"Larsson, Stieg","Keeland, Reg",Fiction,May,2010,Swedish,Sweden,Undirected
Three Fates,"Le, Linda","Polizzotti, Mark",Fiction,June,2010,French,Viet Nam (Vietnam),Undirected
See How Much I Love You,"Leante, Luis","Schifino, Martin",Fiction,Jan,2010,Spanish,Spain,Undirected
How to Make Love to a Negro without Getting Tired,"Leferriere, Dany","Homel, David",Fiction,Oct,2010,French,Quebec,Undirected
Hector and the Search for Happiness,"Lelord, Francois","Garcia, Lorenza",Fiction,Sept,2010,French,France,Undirected
Stella,"Lenz, Siegfried","Bell, Anthea",Fiction,Aug,2010,German,Germany,Undirected
Canti,"Leopardi, Giacomo","Galassi, Jonathan",Poetry,Nov,2010,Italian,Italy,Undirected
Women My Father Knew,"Liebrecht, Savyon","Silverston, Sondra",Fiction,Apr,2010,Hebrew,Israel,Undirected
Symphony in White,"Lisboa, Adriana","Green, Sarah",Fiction,Apr,2010,Portuguese,Brazil,Undirected
Child of Nature,"Lleshanaku, Luljeta","Israeli, Henry",Poetry,Feb,2010,Albanian,Albania,Undirected
Wrong Blood,"Lope, Manuel de","Cullen, John",Fiction,Sept,2010,Spanish,Spain,Undirected
Collected Poems,"Lucebert, ","Butterman, Diane",Poetry,Dec,2010,Dutch,Netherlands,Undirected
Wounded Days,"Luna, Leticia","Kamei, Toshiya",Poetry,Dec,2010,Spanish,Mexico,Undirected
Broken Glass,"Mabanckou, Alain","Stevenson, Helen",Fiction,May,2010,French,Congo,Undirected
Vanishing Points,"Magrelli, Valerio","McKendrick, Jamie",Poetry,July,2010,Italian,Italy,Undirected
Coffeehouse,"Mahfouz, Naguib","Stock, Raymond",Fiction,Dec,2010,Arabic,Egypt,Undirected
Final Hour,"Mahfouz, Naguib","Allen, Roger",Fiction,Oct,2010,Arabic,Egypt,Undirected
In the Time of Love,"Mahfouz, Naguib","Heikkinen, Kay",Fiction,Oct,2010,Arabic,Egypt,Undirected
Klausen,"Maier, Andreas","Northcott, Kenneth",Fiction,Aug,2010,German,Germany,Undirected
Needle in a Haystack,"Mallo, Ernesto","Soutar, Jethro",Fiction,Sept,2010,Spanish,Argentina,Undirected
Boy with the Cuckoo-Clock Heart,"Malzieu, Mathias","Ardizzone, Sarah",Fiction,Mar,2010,French,France,Undirected
Ides of March,"Manfredi, Valerio Massimo","Feddersen-Manfredi, Christine",Fiction,Mar,2010,Italian,Italy,Undirected
Daniel,"Mankell, Henning","Murray, Steven",Fiction,Nov,2010,Swedish,Sweden,Undirected
Man from Beijing,"Mankell, Henning","Thompson, Laurie",Fiction,Feb,2010,Swedish,Sweden,Undirected
Year 3000,"Mantegazza, Paolo","Jacobson, David",Fiction,Nov,2010,Italian,Italy,Undirected
"Bad Nature, or With Elvis in Mexico","Marias, Javier","Allen, Esther",Fiction,Feb,2010,Spanish,Spain,Undirected
While the Women Are Sleeping,"Marias, Javier","Costa, Margaret Jull",Fiction,Nov,2010,Spanish,Spain,Undirected
Cyclops,"Marinkovic, Ranko","Stojiljkovic, Vlada",Fiction,Nov,2010,Croatian,Croatia,Undirected
Sexual Life of an Islamist in Paris,"Marouane, Leila","Anderson, Alison",Fiction,May,2010,French,Algeria,Undirected
Apprenticeship of Big Toe P,"Matsuura, Rieko","Emmerich, Michael",Fiction,Jan,2010,Japanese,Japan,Undirected
Tombeau of Ibn Arabi and White Traverses,"Meddeb, Abdelwahab","Mandell, Charlotte",Poetry,Jan,2010,French,Tunisia,Undirected
Thirteen Hours,"Meyer, Deon","Seegers, K.L.",Fiction,Sept,2010,Afrikaans,South Africa,Undirected
Dark Heart of the Night,"Miano, Leonora","Black, Tasmin",Fiction,Apr,2010,French,Cameroon,Undirected
Entanglement,"Miloszewski, Zygmunt","Lloyd-Jones, Antonia",Fiction,Aug,2010,Polish,Poland,Undirected
Book of Heroes,"Miyabe, Miyuki","??, ??",Fiction,Jan,2010,Japanese,Japan,Undirected
69,"MLB, ","Vigoda, Frank",Poetry,June,2010,Polish,Poland,Undirected
King of Kahel,"Monenembo, Tierno","Elliott, Nicholas",Fiction,Nov,2010,French,Guinea,Undirected
Tattoo,"Montalban, Manuel Vazquez","Caistor, Nick",Fiction,Feb,2010,Spanish,Spain,Undirected
Beautiful and Dark,"Montero, Rosa","Mitchell, Adrienne",Fiction,July,2010,Spanish,Spain,Undirected
Gasoline,"Monzo, Quim","Newman, Mary Ann",Fiction,June,2010,Catalan,Spain,Undirected
Storm,"Moor, Margriet de","Janeway, Carol Brown",Fiction,Mar,2010,Dutch,Netherlands,Undirected
In a Dark Wood,"Moring, Marcel","Whiteside, Shaun",Fiction,Mar,2010,Dutch,Netherlands,Undirected
Audition,"Murakami, Ryu","McCarthy, Ralph",Fiction,June,2010,Japanese,Japan,Undirected
Revenge,"Nasrin, Taslima","Moore, Honor",Fiction,Aug,2010,Bengali,India,Undirected
Dimanche and Other Stories,"Nemirovsky, Irene","Patterson, Bridget",Fiction,Apr,2010,French,France,Undirected
Natural Theater,"Neri, Giampiero","Banerjee, Ron",Poetry,May,2010,Italian,Italy,Undirected
Devil's Star,"Nesbo, Jo","Bartlett, Don",Fiction,Mar,2010,Norwegian,Norway,Undirected
Homesick,"Nevo, Eshkol","Silverston, Sondra",Fiction,Apr,2010,Hebrew,Israel,Undirected
Rocket Girls,"Nojiri, Housuke","Reeder, Joseph",Fiction,Sept,2010,Japanese,Japan,Undirected
Hygiene and the Assassin,"Nothomb, Amelie","Anderson, Alison",Fiction,Oct,2010,French,France,Undirected
To the Wind Our Sails,"O'Donnell, Mary","various, various",Poetry,Nov,2010,Galician,Spain,Undirected
Changeling,"Oe, Kenzaburo","Boehm, Deborah",Fiction,Mar,2010,Japanese,Japan,Undirected
Next Continent,"Ogawa, Issui","Hubbert, Jim",Fiction,May,2010,Japanese,Japan,Undirected
Hotel Iris,"Ogawa, Yoko","Snyder, Stephen",Fiction,Apr,2010,Japanese,Japan,Undirected
Purge,"Oksanen, Sofi","Rogers, Lola",Fiction,Apr,2010,Finnish,Finland,Undirected
Ambassador,"Olafsson, Bragi","Smith, Lytton",Fiction,Oct,2010,Icelandic,Iceland,Undirected
"Chango, the Biggest Badass","Olivella, Manuel Zapata","Tittler, Jonathan",Fiction,Feb,2010,Spanish,Colombia,Undirected
Sherlock Holmes in Russia,"Orlovetz, P.","Auswaks, Alex",Fiction,Jan,2010,Russian,Russia,Undirected
In the Train,"Oster, Christian","Hunter, Adriana",Fiction,Mar,2010,French,France,Undirected
"Summer, Fireworks, and My Corpse","Otsuichi, ","Collins, Nathan",Fiction,Sept,2010,Japanese,Japan,Undirected
Case Closed,"Ourednik, Patrik","Zucker, Alex",Fiction,Apr,2010,Czech,Czech Republic,Undirected
"Princess, the King, and the Anarchist","Pagani, Robert","Marx, Helen",Fiction,Oct,2010,French,Switzerland,Undirected
Discreet Pleasures of Rejection,"Page, Martin","Benderson, Bruce",Fiction,Feb,2010,French,France,Undirected
Tumasik: Contemporary Writing from Singapore,"Pang, Alvin","various, various",Fiction,July,2010,Various,Singapore,Undirected
If There Is Something to Desire,"Pavlova, Vera","Seymour, Steven",Poetry,Jan,2010,Russian,Russia,Undirected
Shadow Prowler,"Pehov, Alexey","Bloomfield, Andrew",Fiction,Feb,2010,Russian,Russia,Undirected
Attempt at Exhausting a Place in Paris,"Perec, Georges","Lowenthal, Marc",Fiction,Sept,2010,French,France,Undirected
Did You Hear about the Fighting Cat?,"Perez, Omar","Dykstra, Kristin",Poetry,Nov,2010,Spanish,Cuba,Undirected
Pirates of the Levant,"Perez-Reverte, Arturo","Costa, Margaret Jull",Fiction,Sept,2010,Spanish,Spain,Undirected
Between Summer's Longing and Winter's End: The Story of a Crime,"Persson, Leif GW","Norlen, Paul",Fiction,Sept,2010,Swedish,Sweden,Undirected
I Curse the River of Time,"Petterson, Per","Barslund, Charlotte",Fiction,Aug,2010,Norwegian,Norway,Undirected
Cardinal's Blades,"Pevel, Pierre","Clegg, Tom",Fiction,Oct,2010,French,France,Undirected
Thousand Peaceful Cities,"Pilch, Jerzy","Frick, David",Fiction,July,2010,Polish,Poland,Undirected
Thursday Night Widows,"Pineiro, Claudia","France, Miranda",Fiction,Jan,2010,Spanish,Argentina,Undirected
Last Rendezvous,"Plantagenet, Anne","Wood, Willard",Fiction,Mar,2010,French,France,Undirected
Lucky Per,"Pontoppidan, Henrik","Lebowitz, Naomi",Fiction,June,2010,Danish,Denmark,Undirected
Star Wizard's Legacy: Six Poetic Sequences,"Popa, Vasko","Marcus, Morton",Poetry,Apr,2010,Serbian,Serbia and Montenegro,Undirected
One Hundred Bottles,"Portela, Ena Lucia","Obejas, Achy",Fiction,Nov,2010,Spanish,Cuba,Undirected
Absolute Bob,"Portugal, Anne","Moxley, Jennifer",Poetry,Oct,2010,French,France,Undirected
