Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Alphabet of Masks,"Birman, Dmitri","Bouis, Antonia",Poetry,Oct,2011,Russian,Russia,Undirected
Call Me Princess,"Blaedel, Sara","Macki, Erik",Fiction,Sept,2011,Danish,Denmark,Undirected
Afterglow,"Blanco, Alberto","Rathbun, Jennifer",Poetry,June,2011,Spanish,Mexico,Undirected
Third Reich,"Bolano, Roberto","Wimmer, Natasha",Fiction,Dec,2011,Spanish,Chile,Undirected
Tres,"Bolano, Roberto","Healy, Laura",Poetry,Sept,2011,Spanish,Chile,Undirected
How I Lost the War,"Bologna, Filippo","Curtis, Howard",Fiction,May,2011,Italian,Italy,Undirected
Good-Bye Angel,"Brandao, Ignacio de Loyola","Landers, Clifford",Fiction,Jan,2011,Portuguese,Brazil,Undirected
Hottest Dishes of the Tartar Cuisine,"Bronsky, Alina","Mohr, Tim",Fiction,Apr,2011,German,Germany,Undirected
Potter's Field,"Camilleri, Andrea","Sartarelli, Stephen",Fiction,Oct,2011,Italian,Italy,Undirected
Origin of Species and Other Poems,"Cardenal, Ernesto","Lyons, John",Poetry,Apr,2011,Spanish,Nicaragua,Undirected
Temporary Perfections,"Carofiglio, Gianrico","Shugaar, Antony",Fiction,Sept,2011,Italian,Italy,Undirected
Walk in the Dark,"Carofiglio, Gianrico","Curtis, Howard",Fiction,Mar,2011,Italian,Italy,Undirected
Lotus Singers,"Carolan, Trevor","various, various",Fiction,Mar,2011,Various,Various,Undirected
Lives Other than My Own,"Carrere, Emmanuel","Coverdale, Linda",Fiction,Sept,2011,French,France,Undirected
I'm a Box,"Carrero, Natalia","Warren, Johanna",Fiction,July,2011,Spanish,Spain,Undirected
Pilate's Jesus,"Chan, Jeong","Kong, Yoo-Jung",Fiction,Feb,2011,Korean,South Korea,Undirected
Forest Woman,"Chatterjee, Bankim Chandra","Chakravarty, Radha",Fiction,Aug,2011,Bengali,India,Undirected
My Two Worlds,"Chejfec, Sergio","Carson, Margaret",Fiction,July,2011,Spanish,Argentina,Undirected
Poems from Children's Island,"Chernyi, Sasha","Kinsella, Kevin",Poetry,Apr,2011,Russian,Russia,Undirected
Demolishing Nisard,"Chevillard, Eric","Stump, Jordan",Fiction,June,2011,French,France,Undirected
Reasons for Writing Poetry,"Chirinos, Eduardo","Racz, G. J.",Poetry,Jan,2011,Spanish,Peru,Undirected
"Light, Grass, & Letter in April","Christensen, Inger","Nied, Susanna",Poetry,June,2011,Danish,Denmark,Undirected
Aleph,"Coelho, Paulo","Costa, Margaret Jull",Fiction,Sept,2011,Portuguese,Brazil,Undirected
Private Property,"Constant, Paule","Miller, Margot",Fiction,Oct,2011,French,France,Undirected
Angelina's Lips,"Conte, Giuseppe","Buranello, Robert",Fiction,May,2011,Italian,Italy,Undirected
Poet by Default,"Corbiere, Tristan","Kocot, Noelle",Poetry,Oct,2011,French,France,Undirected
Prose from the Observatory,"Cortazar, Julio","McLean, Anne",Fiction,June,2011,Spanish,Argentina,Undirected
Accident in August,"Cosse, Laurence","Anderson, Alison",Fiction,Aug,2011,French,France,Undirected
Colors of Infamy,"Cossery, Albert","Waters, Alyson",Fiction,Nov,2011,French,Egypt,Undirected
Dreamseller: The Calling,"Cury, Augusto","Landers, Cliff",Fiction,Feb,2011,Portuguese,Brazil,Undirected
Misterioso,"Dahl, Arne","Nunnally, Tiina",Fiction,Feb,2011,Swedish,Sweden,Undirected
In the Presence of Absence,"Darwish, Mahmoud","Antoon, Sinan",Poetry,May,2011,Arabic,"Palestinian Territory, Occupied",Undirected
Lanceheim,"Davys, Tim","Norlen, Paul",Fiction,June,2011,Swedish,Sweden,Undirected
Tourquai,"Davys, Tim","Norlen, Paul",Fiction,Feb,2011,Swedish,Sweden,Undirected
Schoolgirl,"Dazai, Osamu","Powell, Allison",Fiction,Oct,2011,Japanese,Japan,Undirected
Day Before Happiness,"De Luca, Erri","Moor, Michael",Fiction,Nov,2011,Italian,Italy,Undirected
Indian Tango,"Devi, Ananda","Anderson, Jean",Fiction,Jan,2011,French,Mauritius,Undirected
Dedalus Book of Flemish Fantasy,"Dickens, Eric","Vincent, Paul",Fiction,July,2011,Flemish,Belgium,Undirected
Phone Call from Dalian,"Dong, Han","Harman, Nicky",Poetry,Dec,2011,Chinese,China,Undirected
Lizard's Tale,"Donoso, Jose","Levine, Suzanne Jill",Fiction,Oct,2011,Spanish,Chile,Undirected
Sorry,"Drvenkar, Zoran","Whiteside, Shaun",Fiction,Sept,2011,German,Germany,Undirected
Miss Take,"Ducharme, Rejean","Browning, Will",Fiction,Sept,2011,French,Quebec,Undirected
Summer Storm,"Dunker, Kristina","Dembo, Margot",Fiction,July,2011,German,Germany,Undirected
Of Flies and Monkeys,"Dupin, Jacques","Taylor, John",Poetry,Aug,2011,French,France,Undirected
Lightning,"Echenoz, Jean","Coverdale, Linda",Fiction,June,2011,French,France,Undirected
Prague Cemetery,"Eco, Umberto","Dixon, Richard",Fiction,Nov,2011,Italian,Italy,Undirected
Relic: The Quest for the Golden Shrine,"Egeland, Tom","Chace, Tara",Fiction,Feb,2011,Norwegian,Norway,Undirected
Dog,"Ekman, Kerstin","Schenck, Linda",Fiction,Nov,2011,Swedish,Sweden,Undirected
Last Patriarch,"El-Hachmi, Najat","Bush, Peter",Fiction,May,2011,Catalan,Morocco,Undirected
French Father,"Elkann, Alain","McEwen, Alastair",Fiction,July,2011,Italian,United States (USA),Undirected
Invitation to the Bold of Heart,"Elmiger, Dorothee","Derbyshire, Katy",Fiction,Dec,2011,German,Switzerland,Undirected
Invitation to a Voyage,"Emmanuel, Francois","Vicari, Justin",Fiction,Dec,2011,French,Belgium,Undirected
Burned,"Enger, Thomas","Barslund, Charlotte",Fiction,Oct,2011,Norwegian,Norway,Undirected
Lunar Savings Time,"Epstein, Alex","McKay, Becka Mara",Fiction,May,2011,Hebrew,Israel,Undirected
Hand that Trembles,"Eriksson, Kjell","Segerberg, Ebba",Fiction,Aug,2011,Swedish,Sweden,Undirected
Against Art,"Espedal, Tomas","Anderson, James",Fiction,Dec,2011,Norwegian,Norway,Undirected
Chilean Poets: A New Anthology,"Etcheverry, Jorge","various, various",Poetry,Apr,2011,Spanish,Chile,Undirected
Poems from Above the Hill,"Etwebi, Ashur","Hillman, Brenda",Poetry,Mar,2011,Arabic,Libya,Undirected
Glitter Scene,"Fagerholm, Monika","Tucker, Katarina",Fiction,Aug,2011,Swedish,Finland,Undirected
Zero and Other Fictions,"Fan, Huang","Balcom, John",Fiction,Sept,2011,Chinese,Taiwan,Undirected
Little Mother,"Farah, Cristina Ali","Bellesia-Contuzzi, Giovanna",Fiction,May,2011,Italian,Italy,Undirected
Utu,"Ferey, Caryl","Curtis, Howard",Fiction,Oct,2011,French,France,Undirected
Kamchatka,"Figueras, Marcelo","Wynne, Frank",Fiction,May,2011,Spanish,Argentina,Undirected
Medea and Her War Machines,"Flora, Ioan","Sorkin, Adam",Poetry,July,2011,Romanian,Romania,Undirected
Days of the King,"Florian, Filip","Blyth, Alistair Ian",Fiction,Aug,2011,Romanian,Romania,Undirected
Delicacy,"Foenkinos, David","Benderson, Bruce",Fiction,Dec,2011,French,France,Undirected
Waiting for Robert Capa,"Fortes, Susana","Lopez, Adriana",Fiction,Oct,2011,Spanish,Spain,Undirected
Bad Intentions,"Fossum, Karin","Barslund, Charlotte",Fiction,Aug,2011,Norwegian,Norway,Undirected
Copper Sign,"Fox, Katia","Chadeayne, Lee",Fiction,Dec,2011,German,Germany,Undirected
Picture World,"Frank, Niels","Greenwald, Roger",Poetry,May,2011,Danish,Denmark,Undirected
Absent Sea,"Franz, Carlos","Chambers, Leland",Fiction,June,2011,Spanish,Chile,Undirected
Stranger's Woes,"Frei, Max","Gannon, Polly",Fiction,June,2011,Russian,Russia,Undirected
Irlanda,"Freire, Espido","Kamel, Toshiya",Fiction,Dec,2011,Spanish,Spain,Undirected
Brendel's Fantasy,"Freitag, Gunther","Hayworth, Eugene",Fiction,Aug,2011,German,Austria,Undirected
Answer from the Silence,"Frisch, Max","Mitchell, Mike",Fiction,Mar,2011,German,Switzerland,Undirected
Destiny and Desire,"Fuentes, Carlos","Grossman, Edith",Fiction,Jan,2011,Spanish,Mexico,Undirected
Waxen Wings,"Fulton, Bruce","various, various",Fiction,Feb,2011,Korean,South Korea,Undirected
Castle in the Pyrenees,"Gaarder, Jostein","Anderson, James",Fiction,Aug,2011,Norwegian,Norway,Undirected
Settlers of Catan,"Gable, Rebecca","Chadeayne, Lee",Fiction,Nov,2011,German,Germany,Undirected
French Leave,"Gavalda, Anna","Anderson, Alison",Fiction,May,2011,French,France,Undirected
In the Sea There Are Crocodiles,"Geda, Fabio","Curtis, Howard",Fiction,Aug,2011,Italian,Italy,Undirected
Thirst,"Gelasimov, Andrei","Schwartz, Marian",Fiction,Nov,2011,Russian,Russia,Undirected
Mirador: Dreamed Memories of Irene Nemirovsky by Her Daughter,"Gille, Elisabeth","Harss, Marina",Fiction,Sept,2011,French,France,Undirected
Florentine Death,"Giuttari, Michele","Curtis, Howard",Fiction,Oct,2011,Italian,Italy,Undirected
Love Virtually,"Glattauer, Daniel","Bielenberg, Katharina",Fiction,Apr,2011,German,Austria,Undirected
Overseer's Cabin,"Glissant, Edouard","Wing, Betsy",Fiction,May,2011,French,Martinique,Undirected
With This Night,"Goldberg, Leah","Kantar, Annie",Poetry,June,2011,Hebrew,Israel,Undirected
Traitor's Emblem,"Gomez-Jurado, Juan","Hahn, Daniel",Fiction,July,2011,Spanish,Spain,Undirected
We're Not All Like That,"Goosen, Jeanne","Brink, Andre",Fiction,Mar,2011,Afrikaans,South Africa,Undirected
Scale of Maps,"Gopegui, Belen","Schafer, Mark",Fiction,Jan,2011,Spanish,Spain,Undirected
Exiled from Almost Everywhere,"Goytisolo, Juan","Bush, Peter",Fiction,Apr,2011,Spanish,Spain,Undirected
Nijar Country,"Goytisolo, Juan","Bush, Peter",Fiction,May,2011,Spanish,Spain,Undirected
Birth of the Kingdom,"Guilllou, Jan","Murray, Steven",Fiction,July,2011,Swedish,Sweden,Undirected
Pianist in the Dark,"Halberstadt, Michele","Litvak, Andrew",Fiction,July,2011,French,France,Undirected
"Buzz Aldrin, What Happened to You in All the Confusion?","Harstad, Johan","Dawkin, Deborah",Fiction,June,2011,Norwegian,Norway,Undirected
Good Hope,"Heinesen, William","Jones, W. Glyn",Fiction,Nov,2011,Danish,Faroe Islands,Undirected
Inseparable,"Heldt, Dora","Searle, Jamie Lee",Fiction,Dec,2011,German,Germany,Undirected
Life after Forty,"Heldt, Dora","Searle, Jamie Lee",Fiction,Apr,2011,German,Germany,Undirected
Best European Fiction 2012,"Hemon, Aleksandar","various, various",Fiction,Nov,2011,Various,Various,Undirected
Devotion of Suspect X,"Higashino, Keigo","Smith, Alexander O.",Fiction,Feb,2011,Japanese,Japan,Undirected
Muslim Suicide,"Himmich, Bensalem","Allen, Roger",Fiction,Nov,2011,Arabic,Morocco,Undirected
Fortnight Before the Frost,"Hoel, Sigurd","Lyngstad, Sverre",Fiction,Jan,2011,Norwegian,Norway,Undirected
1222: A Hannah Wilhelmsen Novel,"Holt, Anne","Delargy, Marlaine",Fiction,Dec,2011,Norwegian,Norway,Undirected
Eternal Philistine,"Horvath, Odon von","Wagner, John",Fiction,July,2011,German,Austria,Undirected
Plainsong,"Hosaka, Kazushi","Calas, Julien",Fiction,July,2011,Japanese,Japan,Undirected
Gaps,"Hrabal, Bohumil","Liman, Tony",Fiction,May,2011,Czech,Czech Republic,Undirected
Such Is This World@sars.com,"Hu, Fayun","Clark, A. E.",Fiction,Mar,2011,Chinese,China,Undirected
Shadow of a Blue Cat,"Ii, Naoyuki","Refle, Sophie",Fiction,July,2011,Japanese,Japan,Undirected
Operation Napoleon,"Indridason, Arnaldur","Cribb, Victoria",Fiction,Sept,2011,Icelandic,Iceland,Undirected
Remote Control,"Isaka, Kotaro","Snyder, Stephen",Fiction,Mar,2011,Japanese,Japan,Undirected
Assassin in the Marais,"Izner, Claude","Garcia, Lorenza",Fiction,Sept,2011,French,France,Undirected
"And, Nonetheless","Jaccottet, Philippe","Taylor, John",Poetry,July,2011,French,Switzerland,Undirected
Child Wonder,"Jacobsen, Roy","Bartlett, Don ",Fiction,Oct,2011,Norwegian,Norway,Undirected
Palace in the Old Village,"Jalloun, Tahar Ben","Coverdale, Linda",Fiction,Feb,2011,French,Morocco,Undirected
Galley Slave,"Jancar, Drago","Biggins, Michael",Fiction,Dec,2011,Slovenian,Slovenia,Undirected
Fair Play,"Jansson, Tove","Teal, Thomas",Fiction,Mar,2011,Swedish,Sweden,Undirected
Hour of the Jackal,"Jaumann, Bernhard","Brownjohn, John",Fiction,Nov,2011,German,Germany,Undirected
"We, the Drowned","Jensen, Carsten","Barslund, Charlotte",Fiction,Feb,2011,Danish,Denmark,Undirected
Ruta Tannenbaum,"Jergovic, Miljenko","Dickey, Stephen",Fiction,June,2011,Croatian,Croatia,Undirected
Doubled Shadows,"Jianghe, Ouyang","Woerner, Austin",Poetry,Feb,2011,Chinese,China,Undirected
Upstaged,"Jouet, Jacques","Durantaye, Leland de la",Fiction,June,2011,French,France,Undirected
Straw Sandals,"Jourdan, Pierre-Albert","Taylor, John",Poetry,May,2011,French,France,Undirected
Vertical Poetry: Last Poems,"Juarroz, Roberto","Crow, Mary",Poetry,June,2011,Spanish,Argentina,Undirected
Memoir of Forgetting the Capital,"Jun'ichiro, Tanizaki","Heinrich, Amy",Poetry,Mar,2011,Japanese,Japan,Undirected
Boy in the Suitcase,"Kaaberbol, Lene","Kaaberbol, Lene",Fiction,Nov,2011,Danish,Denmark,Undirected
Songs of Kabir,"Kabir, ","Mehrotra, Arvind Krishna",Poetry,Mar,2011,Hindi,India,Undirected
Ghost Rider,"Kadare, Ismail","Rothschild, Jon",Fiction,June,2011,French,Albania,Undirected
Life on Sandpaper,"Kaniuk, Yoram","Berris, Anthony",Fiction,Feb,2011,Hebrew,Israel,Undirected
Dedalus Book of Estonian Literature,"Kaus, Jan","Dickens, Eric",Fiction,Nov,2011,Estonian,Estonia,Undirected
Hypnotist,"Kepler, Lars","Long, Ann",Fiction,July,2011,Swedish,Sweden,Undirected
Fiasco,"Kertesz, Imre","Wilkinson, Tim",Fiction,Mar,2011,Hungarian,Hungary,Undirected
Stronger Sex,"Kettenbach, Hans Werner","Bell, Anthea",Fiction,June,2011,German,Germany,Undirected
Vision of the Return,"Khan, Amin","Baude, Dawn Michelle",Poetry,Dec,2011,French,Algeria,Undirected
Montecore: The Silence of the Tiger,"Khemiri, Jonas Hassen","Willson-Broyles, Rachel",Fiction,Feb,2011,Swedish,Sweden,Undirected
Summer Resort,"Kinsky, Esther","Chalmers, Martin",Fiction,Apr,2011,German,Germany,Undirected
Guru Is Born,"Kitano, Takeshi","??, ??",Fiction,Aug,2011,Japanese,Japan,Undirected
Seconds Out,"Kohan, Martin","Caistor, Nick",Fiction,Apr,2011,Spanish,Argentina,Undirected
Approaching You in English,"Kosman, Admiel","Katz, Lisa",Poetry,Sept,2011,Hebrew,Israel,Undirected
Kornel Esti,"Kosztolanyi, Deszo","Adams, Bernard",Fiction,Feb,2011,Hungarian,Hungary,Undirected
Anima,"Kozer, Jose","Boyle, Peter",Poetry,Feb,2011,Spanish,Cuba,Undirected
Animalinside,"Krasznahorkai, Laszlo","Mulzet, Ottilie",Fiction,Apr,2011,Hungarian,Hungary,Undirected
Women and Clothes,"Kronauer, Brigitte","Ittner, Jutta",Fiction,Feb,2011,German,Germany,Undirected
Letter Killers Club,"Krzhizhanovsky, Sigizimund","Turnbull, Joanne",Fiction,Dec,2011,Russian,Russia,Undirected
Penguin Lost,"Kurkov, Andrej","Bird, George",Fiction,Sept,2011,Russian,Russia,Undirected
"Paradise Bird Tattoo (or, Attempted Double-Suicide)","Kurumatani, Choukitsu","Bryson, Kenneth",Fiction,Mar,2011,Japanese,Japan,Undirected
Mendeleev Rock,"Kuzechkin, Andrei","??, ??",Fiction,Sept,2011,Russian,Russia,Undirected
I Am a Japanese Writer,"Laferriere, Dany","Homel, David",Fiction,May,2011,French,Quebec,Undirected
Last Verses,"Laforgue, Jules","Revell, Donald",Poetry,Sept,2011,French,Uruguay,Undirected
Until Thy Wrath Be Past,"Larsson, Asa","Thompson, Laurie",Fiction,Aug,2011,Swedish,Sweden,Undirected
Mondo and Other Stories,"Le Clezio, J. M. G.","Anderson, Alison",Fiction,May,2011,French,France,Undirected
Enough about Love,"Le Tellier, Herve","Hunter, Adriana",Fiction,Feb,2011,French,France,Undirected
Sextine Chapel,"Le Tellier, Herve","Monk, Ian",Fiction,July,2011,French,France,Undirected
Thousand Pearls (for a Thousand Pennies),"Le Tellier, Herve","Monk, Ian",Fiction,July,2011,French,France,Undirected
Hector and the Secrets of Love,"Lelord, Francois","Garcia, Lorenza",Fiction,May,2011,French,France,Undirected
"Four Cut-Ups, or, the Case of the Restored Volume","Lepiau, David","Waldrop, Keith",Poetry,June,2011,French,France,Undirected
Suicide,"Leve, Edouard","Steyn, Jan",Fiction,Apr,2011,French,France,Undirected
Room Where the Star-Spangled Banner Cannot Be Heard,"Levy, Hideo","Scott, Christopher",Fiction,July,2011,Japanese,Japan,Undirected
Harbor,"Lindqvist, John Ajvide","Delargy, Marlaine",Fiction,Oct,2011,Swedish,Sweden,Undirected
Hut of Fallen Persimmons,"Lisboa, Adriana","Green, Sarah",Fiction,Apr,2011,Portuguese,Brazil,Undirected
Passionate Nomads,"Lojo, Maria Rosa","Sanders, Brett Alan",Fiction,June,2011,Spanish,Argentina,Undirected
Book of Doubt,"Loo, Tessa de","Doyle, Brian",Fiction,Apr,2011,Dutch,Netherlands,Undirected
Barcelona Noir,"Lopez, Adriana","Obejas, Achy",Fiction,May,2011,Spanish,Spain,Undirected
Last of the Egyptians,"Mace, Gerard","Evenson, Brian",Fiction,Oct,2011,French,France,Undirected
Remnants of Another Age,"Madzirov, Nikola","Reid, Peggy",Poetry,Apr,2011,Macedonian,Macedonia,Undirected
Heart of the Night,"Mahfouz, Naguib","Bamia, Aida",Fiction,Mar,2011,Arabic,Egypt,Undirected
Love in the Rain,"Mahfouz, Naguib","Roberts, Nancy",Fiction,Apr,2011,Arabic,Egypt,Undirected
Sweet Money,"Mallo, Ernesto","Silver, Katherine",Fiction,Oct,2011,Spanish,Argentina,Undirected
Fatale,"Manchette, J. P.","Nicholson-Smith, Donald",Fiction,Apr,2011,French,France,Undirected
Troubled Man,"Mankell, Henning","Thompson, Laurie",Fiction,Mar,2011,Swedish,Sweden,Undirected
Portraits of a Marriage,"Marai, Sandor","Szirtes, George",Fiction,Feb,2011,Hungarian,Hungary,Undirected
Train to Budapest,"Maraini, Dacia","Mazzarella, Silvester",Fiction,July,2011,Italian,Italy,Undirected
New Finnish Grammar,"Marani, Diego","Landry, Judith",Fiction,Oct,2011,Italian,Italy,Undirected
Strangely Happy,"Margarit, Joan","Crowe, Anna",Poetry,Dec,2011,Catalan,Spain,Undirected
Red Wolf,"Marklund, Liza","Smith, Neil",Fiction,Feb,2011,Swedish,Sweden,Undirected
Purgatory,"Martinez, Tomas Eloy","Wynne, Frank",Fiction,Nov,2011,Spanish,Argentina,Undirected
Three Messages and a Warning,"Mayo, Eduardo Jimenez","various, various",Fiction,Dec,2011,Spanish,Mexico,Undirected
Twice Born,"Mazzantini, Margaret","Gagliardi, Ann",Fiction,May,2011,Italian,Italy,Undirected
Talismano,"Meddeb, Abdelwahab","Kuntz, Jane",Fiction,May,2011,French,Tunisia,Undirected
Isle of the Dead,"Meier, Gerhard","Pike, Burton",Fiction,Nov,2011,German,Switzerland,Undirected
Tomboy,"Meinecke, Thomas","Bowles, Daniel",Fiction,Nov,2011,German,Germany,Undirected
Trackers,"Meyer, Deon","Seegers, K. L.",Fiction,Sept,2011,Afrikaans,South Africa,Undirected
Copenhagen Noir,"Michaelis, Bo Tao","Kline, Mark",Fiction,Jan,2011,Danish,Denmark,Undirected
Indian Summer,"Mieko, Kanai","Aoyama, Tomoko",Fiction,Jan,2011,Japanese,Japan,Undirected
Digital Geishas and Talking Frogs,"Mitsios, Helen","various, various",Fiction,Feb,2011,Japanese,Japan,Undirected
Single Sickness and Other Stories,"Mizuko, Masuda","Kutsukake, Lynne",Fiction,Aug,2011,Japanese,Japan,Undirected
Guadalajara,"Monzo, Quim","Bush, Peter",Fiction,June,2011,Catalan,Spain,Undirected
Two Friends,"Moravia, Alberto","Harss, Marina",Fiction,Aug,2011,Italian,Italy,Undirected
Collected Body,"Mort, Valzhyna","Oehlkers Wright, Elizabeth",Poetry,Sept,2011,Belarussian,Belarus,Undirected
Negro Marfil/Ivory Black,"Moscona, Myriam","Hofer, Jen",Poetry,Sept,2011,Spanish,Mexico,Undirected
Tyrant Memory,"Moya, Horacio Castellanos","Silver, Katherine",Fiction,June,2011,Spanish,Honduras,Undirected
Vanishing Point that Whistles,"Mugur, Paul Doru","Sorkin, Adam",Poetry,Dec,2011,Romanian,Romania,Undirected
1Q84,"Murakami, Haruki","Rubin, Jay",Fiction,Oct,2011,Japanese,Japan,Undirected
Popular Hits of the Showa Era,"Murakami, Ryu","McCarthy, Ralph",Fiction,Jan,2011,Japanese,Japan,Undirected
Stone Upon Stone,"Mysliwski, Wieslaw","Johnson, Bill",Fiction,Jan,2011,Polish,Poland,Undirected
Parallel Stories,"Nadas, Peter","Goldstein, Imre",Fiction,Nov,2011,Hungarian,Hungary,Undirected
All Our Worldly Goods,"Nemirovsky, Irene","Smith, Sandra",Fiction,Sept,2011,French,France,Undirected
Headhunters,"Nesbo, Jo","Bartlett, Don",Fiction,Sept,2011,Norwegian,Norway,Undirected
Leopard,"Nesbo, Jo","Bartlett, Don",Fiction,Dec,2011,Norwegian,Norway,Undirected
Snowman,"Nesbo, Jo","Bartlett, Don",Fiction,May,2011,Norwegian,Norway,Undirected
Inspector and Silence,"Nesser, Hakan","Thompson, Laurie",Fiction,June,2011,Swedish,Sweden,Undirected
House Inspections,"Nielsen, Carsten Rene","Keplinger, David",Poetry,Nov,2011,Danish,Denmark,Undirected
Regrowth,"Nister, Der","Butler, Erik",Fiction,June,2011,Yiddish,Ukraine,Undirected
Bela-Wenda,"Nkulu-N'Sengha, Mutombo","Sulak, Marcela Malek",Poetry,Jan,2011,French,Congo,Undirected
Rest of the Voyage,"Noel, Bernard","Rivera, Elena",Poetry,Nov,2011,French,France,Undirected
Rocket Girls: The Last Planet,"Nojiri, Housuke","Smith, Alexander",Fiction,Mar,2011,Japanese,Japan,Undirected
Spectacle & Pigsty,"Nomura, Kiwao","Yoshida, Kyoko",Poetry,Sept,2011,Japanese,Japan,Undirected
Self-Portrait of an Other,"Nooteboom, Cees","Colmer, David",Poetry,Nov,2011,Dutch,Netherlands,Undirected
Selected Poems,"Norwid, Cyprian","Borchardt, Danuta",Poetry,July,2011,Polish,Poland,Undirected
Raid and the Blackest Sheep,"Nykanen, Harri","Ylitalo Leppa, Peter",Fiction,Nov,2011,Finnish,Finland,Undirected
J-Boys,"Oketani, Shogo","Udagawa, Avery Fischer",Fiction,July,2011,Japanese,Japan,Undirected
Greenhouse,"Olafsdottir, Audur Ava","FitzGibbon, Brian",Fiction,Oct,2011,Icelandic,Iceland,Undirected
Wert and the Life Without End,"Ollier, Claude","Scott, Ursula Meany",Fiction,July,2011,French,France,Undirected
"Opportune Moment, 1855","Ourednik, Patrik","Zucker, Alex",Fiction,Apr,2011,Czech,Czech Republic,Undirected
Scenes from Village Life,"Oz, Amos","Lange, Nicholas de",Fiction,Oct,2011,Hebrew,Israel,Undirected
Suddenly in the Depths of the Forest,"Oz, Amos","Silverston, Sondra",Fiction,Mar,2011,Hebrew,Israel,Undirected
Map of Time,"Palma, Felix","Caistor, Nick",Fiction,June,2011,Spanish,Spain,Undirected
Shadow-Boxing Woman,"Parei, Inka","Derbyshire, Katy",Fiction,May,2011,German,Germany,Undirected
Shadow Chaser,"Pehov, Alexey","Bromfield, Andrew",Fiction,Apr,2011,Russian,Russia,Undirected
Hall of the Singing Caryatids,"Pelevin, Victor","Bromfield, Andrew",Fiction,Oct,2011,Russian,Russia,Undirected
Big Game,"Peret, Benjamin","Kallet, Marilyn",Poetry,July,2011,French,France,Undirected
Leg of Lamb,"Peret, Benjamin","Lowenthal, Marc",Fiction,Apr,2011,French,France,Undirected
Funeral for a Dog,"Pletzinger, Thomas","Benjamin, Ross",Fiction,Mar,2011,German,Germany,Undirected
Guide to Capturing a Plum Blossom,"Po-jen, Sung","Pine, Red",Poetry,Nov,2011,Chinese,China,Undirected
