Titles,Source,Target,Genre,Month,Year,Lanuage,Country,Type
Let the Games Begin,"Ammaniti, Niccolo","Doust, Kylee",Fiction,Aug,2013,Italian,Italy,Undirected
Saturnalia,"Andujar, Rey","Parra, Daniel",Fiction,Mar,2013,Spanish,Dominican Republic,Undirected
Corpse Washer,"Antoon, Sinan","Antoon, Sinan",Fiction,July,2013,Arabic,Iraq,Undirected
California Psalms,"Apraksina, Tatyana","Manteith, James",Poetry,July,2013,Russian,Russia,Undirected
Brother Kemal,"Arjouni, Jakob","Bell, Anthea",Fiction,Sept,2013,German,Germany,Undirected
Midas Murders,"Aspe, Pieter","Doyle, Brian",Fiction,Dec,2013,Dutch,Netherlands,Undirected
Square of Revenge,"Aspe, Pieter","Doyle, Brian",Fiction,June,2013,Dutch,Netherlands,Undirected
No Fixed Abode,"Auge, Marc","Turner, Chris",Fiction,Apr,2013,French,France,Undirected
Baksheesh,"Aykol, Esmahan","Whitehouse, Ruth",Fiction,Mar,2013,Turkish,Turkey,Undirected
Swimmers,"Azaustre, Joquin Perez","Lyndes, Lucas",Fiction,Aug,2013,Spanish,Spain,Undirected
Before I Croak,"Babiashkina, Anna","Maguire, Muireann",Fiction,Aug,2013,Russian,Russia,Undirected
New Adventures of Sinbad the Sailor,"Bachi, Salim","Rose, Sue",Fiction,July,2013,French,Algeria,Undirected
Seascape,"Backer, Heimrad","Greaney, Patrick",Poetry,Aug,2013,German,Austria,Undirected
Message Sticks,"Bacon, Josephine","Aronoff, Phyllis",Poetry,Apr,2013,Innu-aimun,Quebec,Undirected
Sorceress Diguwan,"Badai, ","Hsiao, Catherine",Fiction,Sept,2013,Chinese,Taiwan,Undirected
Ten White Geese,"Bakker, Gerbrand","Colmer, David",Fiction,Feb,2013,Dutch,Netherlands,Undirected
Science Not for the Earth,"Baratynsky, Yevgeny","Grau, Rawley",Poetry,Nov,2013,Russian,Russia,Undirected
Dreams of Waking: An Anthology of Iberian Lyric Poetry,"Barletta, Vincent","Bajus, Mark",Poetry,Apr,2013,Various,Various,Undirected
Ingredients of Love,"Barreau, Nicholas","McCann, Bill",Fiction,Jan,2013,French,France,Undirected
House of Impossible Loves,"Barrio, Cristina Lopez","Carter, Lisa",Fiction,June,2013,Spanish,Spain,Undirected
Music by My Bedside,"Basar, Kursat","Fromm, Cigdem Aksoy",Fiction,Jan,2013,Turkish,Turkey,Undirected
Madonna on the Moon,"Bauerdick, Rolf","Dollenmayer, David",Fiction,July,2013,German,Germany,Undirected
Shiki Nagaoka: A Nose for Fiction,"Bellatin, Mario","Shook, David",Fiction,May,2013,Spanish,Mexico,Undirected
Malavita,"Benaquista, Tonino","Read, Emily",Fiction,July,2013,French,France,Undirected
Impromptus,"Benn, Gottfried","Hofmann, Michael",Poetry,Nov,2013,German,Germany,Undirected
Mongolian Conspiracy,"Bernal, Rafael","Silver, Katherine",Fiction,Nov,2013,Spanish,Mexico,Undirected
"Brando, My Solitude","Bertina, Arno","Tissut, Anne-Laure",Fiction,Feb,2013,French,France,Undirected
Greenland Breach,"Besson, Bernard","Rose, Julie",Fiction,Oct,2013,French,France,Undirected
Cruel City,"Beti, Mongo","Higginson, Pim",Fiction,Feb,2013,French,Cameroon,Undirected
Guest in the Wood,"Biagini, Elisa","Thow, Diana",Poetry,Sept,2013,Italian,Italy,Undirected
Horses of God,"Binebine, Mahi","Norman, Lulu",Fiction,Apr,2013,French,Morocco,Undirected
"Where There's Love, There's Hate","Bioy Casares, Adolfo","Levine, Suzanne Jill",Fiction,May,2013,Spanish,Argentina,Undirected
Reply to a Letter from Helga,"Birgisson, Bergsveinn","Roughton, Philip",Fiction,Jan,2013,Icelandic,Iceland,Undirected
Black Flame,"Blackcrane, Gerelchimeg","Holmwood, Anna",Fiction,Apr,2013,Chinese,China,Undirected
Where Tigers Are at Home,"Blas de Robles, Jean-Marie","Mitchell, Mike",Fiction,Mar,2013,French,France,Undirected
Sinistra Zone,"Bodor, Adam","Olchvary, Paul",Fiction,May,2013,Hungarian,Hungary,Undirected
Unknown University,"Bolano, Roberto","Healy, Laura",Poetry,May,2013,Spanish,Chile,Undirected
Reprisal,"Bonanni, Laudomia","Stewart, Susan",Fiction,Apr,2013,Italian,Italy,Undirected
Clisson and Eugenie,"Bonaparte, Napoleon","Hicks, Peter",Fiction,Dec,2013,French,France,Undirected
Obsession,"Bonelli, Florencia","Peele, Rosemary",Fiction,July,2013,Spanish,Argentina,Undirected
Sea,"Bonet, Blai","Sweeney, Cathy",Fiction,May,2013,Catalan,Spain,Undirected
Ice-Cold Heaven,"Bonne, Mirko","Starritt, Alexander",Fiction,Sept,2013,German,Germany,Undirected
Present Hour,"Bonnefoy, Yves","Brahic, Beverley Bie",Poetry,Nov,2013,French,France,Undirected
Obstinate Snail,"Boudjedra, Rachid","Stephens, Leon",Fiction,May,2013,French,Algeria,Undirected
Barbary Figs,"Boudjedra, Rashid","Naffis-Sahely, Andre",Fiction,Feb,2013,Arabic,Algeria,Undirected
No Film in the Camera,"Bramness, Hanne","Presley, Frances",Poetry,Apr,2013,Norwegian,Norway,Undirected
Mandala Road,"Brando, Masako","Lammers, Wayne",Fiction,Feb,2013,Japanese,Japan,Undirected
Combover,"Bravi, Adrian","Dixon, Richard",Fiction,Nov,2013,Italian,Italy,Undirected
Villa Bunker,"Brebel, Sebastien","Wilson, Andrew",Fiction,July,2013,French,France,Undirected
Catastrophes,"Breytenbach, Breyten","Breytenbach, Breyten",Fiction,Jan,2013,Afrikaans,South Africa,Undirected
Legend,"Bronsard, Marie","Alland, Sonia",Fiction,May,2013,French,France,Undirected
White Piano,"Brossard, Nicole","Majzels, Robert",Poetry,Apr,2013,French,Quebec,Undirected
My Small Husband,"Bruckner, Pascal","Mitchell, Mike",Fiction,July,2013,French,France,Undirected
Netanya,"Burstein, Dror","Hasak-Lowy, Todd",Fiction,Nov,2013,Hebrew,Israel,Undirected
Collected Haiku of Buson,"Buson, Yosa","Merwin, W.S.",Poetry,June,2013,Japanese,Japan,Undirected
Under this Terrible Sun,"Busqued, Carlos","McDowell, Megan",Fiction,June,2013,Spanish,Argentina,Undirected
Officer's Prey,"Cabasson, Armand","Glencross, Michael",Fiction,Nov,2013,French,France,Undirected
Violet Blood of the Amethyst,"Calaferte, Louis","Taylor, John",Poetry,June,2013,French,France,Undirected
Dance of the Seagull,"Camilleri, Andrea","Sartarelli, Stephen",Fiction,Mar,2013,Italian,Italy,Undirected
Treasure Hunt,"Camilleri, Andrea","Sartarelli, Stephen",Fiction,Oct,2013,Italian,Italy,Undirected
Wigrum,"Canty, Daniel","Avasilichioael, Oana",Fiction,Oct,2013,French,Quebec,Undirected
Matter of Time,"Capus, Alex","Brownjohn, John",Fiction,Nov,2013,German,Switzerland,Undirected
At the End of a Dull Day,"Carlotto, Massimo","Shugaar, Antony",Fiction,May,2013,Italian,Italy,Undirected
Silence of the Wave,"Carofiglio, Gianrico","Curtis, Howard",Fiction,Sept,2013,Italian,Italy,Undirected
Lost Girls of Rome,"Carrisi, Donato","Curtis, Howard",Fiction,Nov,2013,Italian,Italy,Undirected
Blinding: The Left Wing,"Cartarescu, Mircea","Cotter, Sean",Fiction,Oct,2013,Romanian,Romania,Undirected
Textile,"Castel-Bloom, Orly","Bilu, Dalya",Fiction,Oct,2013,Hebrew,Israel,Undirected
My Poems Won't Change the World,"Cavalli, Patrizia","various, various",Poetry,Sept,2013,Italian,Italy,Undirected
Summer of the Elder Tree,"Chaix, Marie","Mathews, Harry",Fiction,June,2013,French,France,Undirected
Because Cuba Is You,"Chao, Ramon","Wright, Ann",Fiction,Nov,2013,Spanish,Spain,Undirected
Dark,"Chejfec, Sergio","Cleary, Heather",Fiction,Oct,2013,Spanish,Argentina,Undirected
In a Time of Burning,"Cheran, ","Holmstrom, Lakshmi",Poetry,July,2013,Tamil,India,Undirected
Cruise to the Galapagos Islands,"Cisneros, Antonio","Rowe, William",Poetry,Oct,2013,Spanish,Peru,Undirected
Even Now,"Claus, Hugo","Colmer, David",Poetry,Nov,2013,Dutch,Netherlands,Undirected
Murder,"Collobert, Danielle",", Nathanael",Poetry,Apr,2013,French,France,Undirected
Uppsala Woods,"Colomer, Alvaro","Dunne, Jonathan",Fiction,Oct,2013,Spanish,Spain,Undirected
Bitter Almonds,"Cosse, Laurence","Anderson, Alison",Fiction,Apr,2013,French,France,Undirected
Tuner of Silences,"Couto, Mia","Brookshaw, David",Fiction,Feb,2013,Portuguese,Mozambique,Undirected
Out of Their Minds,"Crosthwaite, Luis Humberto","Byrd, John William",Fiction,Sept,2013,Spanish,Mexico,Undirected
No Part to Play,"Cucchi, Maurizio","Palma, Michael",Poetry,Dec,2013,Italian,Italy,Undirected
Only Happy Ending for a Love Story Is an Accident,"Cuenca, Joao Paulo","Lowe, Elizabeth",Fiction,Oct,2013,Portuguese,Brazil,Undirected
fungus skull eye wing,"D'Aquino, Alfonso","Gander, Forrest",Poetry,Nov,2013,Spanish,Mexico,Undirected
Burnt Child,"Dagerman, Stig","Mier-Cruz, Benjamin",Fiction,May,2013,Swedish,Sweden,Undirected
Sleet,"Dagerman, Stig","Hartman, Steven",Fiction,July,2013,Swedish,Sweden,Undirected
To the Spring by Night,"Dagtekin, Seyhmus","Winkler, Donald",Fiction,Mar,2013,French,Turkey,Undirected
Bad Blood,"Dahl, Arne","Willson-Broyles, Rachel",Fiction,Aug,2013,Swedish,Sweden,Undirected
Hundred Thousand Hours,"Dahle, Gro","Wadlinger, Rebecca",Poetry,Oct,2013,Norwegian,Norway,Undirected
For Sure,"Daigle, France","Majzels, Robert",Fiction,June,2013,French,Quebec,Undirected
Abolition of Species,"Dath, Dietmar","Willcocks, Samuel",Fiction,Apr,2013,German,Germany,Undirected
Suitors,"David-Weill, Cecile","Coverdale, Linda",Fiction,Feb,2013,French,France,Undirected
In a Heartbeat,"Dazieri, Sandrone","Mojica, A. Turner",Fiction,July,2013,Italian,Italy,Undirected
Art of Patience,"de Andrade, Eugenio","Levitin, Alexis",Poetry,Nov,2013,Portuguese,Portugal,Undirected
Theme of Farewell and After-Poems,"de Angelis, Milo","Stewart, Susan",Poetry,Apr,2013,Italian,Italy,Undirected
Blood Curse,"De Giovanni, Maurizio","Shugaar, Antony",Fiction,May,2013,Italian,Italy,Undirected
Crocodile,"De Giovanni, Maurizio","Shugaar, Antony",Fiction,July,2013,Italian,Italy,Undirected
Everyone in Their Place,"De Giovanni, Maurizio","Shugaar, Antony",Fiction,Nov,2013,Italian,Italy,Undirected
I Will Have Vengeance: The Winter of Commissario Ricciardi,"De Giovanni, Maurizio","Appel, Anne Milano",Fiction,Feb,2013,Italian,Italy,Undirected
Game,"de la Motte, Anders","Smith, Neil",Fiction,Dec,2013,Swedish,Sweden,Undirected
Psalms of All My Days,"de La Tour du Pin, Patrice","Grotz, Jennifer",Poetry,Mar,2013,French,France,Undirected
Paradigm,"de Palchi, Alfredo","Taylor, John",Poetry,Apr,2013,Italian,Italy,Undirected
Tale Without a Name,"Delta, Penelope","Provata-Carlone, Mike",Fiction,Sept,2013,Greek,Greece,Undirected
New Cathay,"Di, Ming","Various, Various",Poetry,June,2013,Chinese,China,Undirected
Colaterales/Collateral,"Di Donato, Dinapiera","Maldonado, Ricardo",Poetry,Dec,2013,Spanish,Venezuela,Undirected
Consequences,"Dijan, Philippe","Benderson, Bruce",Fiction,Sept,2013,French,France,Undirected
Deluge,"Dinh, Linh","Dinh, Linh",Poetry,Sept,2013,Vietnamese,Viet Nam (Vietnam),Undirected
L'Amour,"Duras, Marguerite","Ali, Kazim",Fiction,July,2013,French,France,Undirected
Douglas Notebooks,"Eddie, Christine","Fischman, Sheila",Fiction,Mar,2013,French,Quebec,Undirected
Room No. 10,"Edwardson, Ake","Willson-Broyles, Rachel",Fiction,Mar,2013,Swedish,Sweden,Undirected
Shadow of Things to Come,"Efoui, Kossi","Turner, Chris",Fiction,July,2013,French,Togo,Undirected
1001 Winters,"Ehin, Kristiina","Lehtpere, Ilmar",Poetry,Jan,2013,Estonian,Estonia,Undirected
In a Single Breath,"Ehin, Kristiina","Lehtpere, Ilmar",Poetry,Sept,2013,Estonian,Estonia,Undirected
Who Will Die Last: Stories of Life in Israel,"Ehrlich, David","Seidman, Naomi",Fiction,May,2013,Hebrew,Israel,Undirected
Private Pleasures,"el-Gazzar, Hamdy","Davies, Humphrey",Fiction,Oct,2013,Arabic,Egypt,Undirected
Murmur,"Elfyn, Menna","various, various",Poetry,Mar,2013,Welsh,Wales,Undirected
Self-Reference Engine,"Enjoe, Toh","Gallagher, Terry",Fiction,Mar,2013,Japanese,Japan,Undirected
Hypothermia,"Enrigue, Alvaro","Riley, Brendan",Fiction,May,2013,Spanish,Mexico,Undirected
Emperor Tea Garden,"Eray, Nazli","Finn, Robert",Fiction,Mar,2013,Turkish,Turkey,Undirected
No Turning Back,"Falcon, Linda","Knauss, Jessica",Fiction,Jan,2013,Spanish,Spain,Undirected
Form of Life,"Fantato, Gabriela","di Pasquale, Emanuel",Poetry,Jan,2013,Italian,Italy,Undirected
Mapuche,"Ferey, Caryl","Rendall, Steven",Fiction,July,2013,French,France,Undirected
Story of a New Name,"Ferrante, Elena","Goldstein, Ann",Fiction,Sept,2013,Italian,Italy,Undirected
Conductor and Other Tales,"Ferry, Jean","Gauvin, Edward",Fiction,Dec,2013,French,France,Undirected
Faction,"Filloy, Juan","McNeil, Rhett",Fiction,Sept,2013,Spanish,Argentina,Undirected
Winning the Game,"Fonseca, Rubem","Landers, Clifford",Fiction,Mar,2013,Portuguese,Brazil,Undirected
La Vida Doble,"Fontaine, Arturo","McDowell, Megan",Fiction,May,2013,Spanish,Chile,Undirected
Kuessipan,"Fontaine, Naomi","Homel, David",Fiction,Oct,2013,French,Quebec,Undirected
Eva's Eye,"Fossum, Karin","Anderson, James",Fiction,Aug,2013,Norwegian,Norway,Undirected
Silver Falcon,"Fox, Katia","Botsford, Aubrey",Fiction,June,2013,German,Germany,Undirected
Back to Back,"Franck, Julia","Bell, Anthea",Fiction,Dec,2013,German,Germany,Undirected
Stranger's Shadow,"Frei, Max","Gannon, Polly",Fiction,May,2013,Russian,Russia,Undirected
Cat Did Not Die,"Frimansson, Inger","Wideburg, Laura",Fiction,Feb,2013,Swedish,Sweden,Undirected
Civil Twilight,"Fruelund, Simon","Semmel, K.E.",Fiction,Feb,2013,Danish,Denmark,Undirected
Milk and Other Stories,"Fruelund, Simon","Semmel, K.E.",Fiction,Oct,2013,Danish,Denmark,Undirected
Jew Car,"Fuhmann, Franz","Cole, Isabel Fargo",Fiction,June,2013,German,Germany,Undirected
World of the End,"Gafla, Ofir Touche","Ginsburg, Mitch",Fiction,July,2013,Hebrew,Israel,Undirected
Panic Cure: Poetry from Spain in the 21st Century,"Gander, Forrest","Gander, Forrest",Poetry,Sept,2013,Spanish,Spain,Undirected
Corpse Reader,"Garrido, Antonio","Bunstead, Thomas",Fiction,May,2013,Spanish,Spain,Undirected
Scribe,"Garrido, Antonio","Bruni, Simon",Fiction,Dec,2013,Spanish,Spain,Undirected
Dinosaur Feather,"Gazan, Sissel-Jo","Barslund, Charlotte",Fiction,Nov,2013,Danish,Denmark,Undirected
Spectre of Alexander Wolf,"Gazdanov, Gaito","Karetnyk, Bryan",Fiction,Dec,2013,Russian,Russia,Undirected
Gods of the Steppe,"Gelasimov, Andrei","Schwartz, Marian",Fiction,Sept,2013,Russian,Russia,Undirected
Lying Year,"Gelasimov, Andrei","Schwartz, Marian",Fiction,Jan,2013,Russian,Russia,Undirected
"Summertime, All the Cats Are Bored","Georget, Philippe","Rendall, Steven",Fiction,July,2013,French,France,Undirected
Word Tree,"Gersao, Teolinda","Costa, Margaret Jull",Fiction,Aug,2013,Portuguese,Portugal,Undirected
"For Every Solution, A Problem","Gier, Kerstin","Macki, Erik",Fiction,Dec,2013,German,Germany,Undirected
In the Moremarrow,"Girondo, Oliverio","Weigel, Molly",Poetry,Apr,2013,Spanish,Argentina,Undirected
Elixir of Immortality,"Gleichmann, Gabi","Meigs, Michael",Fiction,Oct,2013,Norwegian,Norway,Undirected
Trafalgar,"Gorodischer, Angelica","Gladhart, Amalia",Fiction,Feb,2013,Spanish,Argentina,Undirected
More Bitter than Death,"Grebe, Camilla","Norlen, Paul",Fiction,June,2013,Swedish,Sweden,Undirected
Secret of Ji: Orphans' Promise,"Grimbert, Pierre","Ross, Matt",Fiction,Nov,2013,French,France,Undirected
Secret of Ji: Six Heirs,"Grimbert, Pierre","Ross, Matt",Fiction,Feb,2013,French,France,Undirected
Enchantment,"Grossi, Pietro","Curtis, Howard",Fiction,Oct,2013,Italian,Italy,Undirected
Roman Elegy,"Gruber, Sabine","Lewis, Peter",Fiction,June,2013,Italian,Italy,Undirected
Tirza,"Grunberg, Arnon","Garrett, Sam",Fiction,Feb,2013,Dutch,Netherlands,Undirected
Bone Man,"Haas, Wolf","Janusch, Annie",Fiction,Apr,2013,German,Germany,Undirected
Black Lake,"Haasse, Hella","Rilke, Ina",Fiction,Oct,2013,Dutch,Netherlands,Undirected
European Trash (Fourteen Ways to Remember a Father),"Hallberg, Ulf Peter","Anderson, Erland",Fiction,July,2013,Swedish,Sweden,Undirected
Crimson Fog,"Halter, Paul","Pugmire, John",Fiction,Dec,2013,French,France,Undirected
Hanging,"Hammer, Lotte","Segerberg, Ebba",Fiction,June,2013,Danish,Denmark,Undirected
Of Children and Adolescents,"Harkianakis, Stylianos","Bien, Peter",Poetry,Apr,2013,Greek,Greece,Undirected
Meditations on Georges de La Tour,"Haugen, Paal-Helge","Greenwald, Roger",Poetry,May,2013,Norwegian,Norway,Undirected
Open Door,"Havilio, Iosi","Fowler, Beth",Fiction,Sept,2013,Spanish,Argentina,Undirected
Paradises,"Havilio, Iosi","Fowler, Beth",Fiction,Oct,2013,Spanish,Argentina,Undirected
Warmth of a Taxidermied Animal,"Heikkinen, Tytti","Pollari, Niina",Poetry,Nov,2013,Finnish,Finland,Undirected
Tidal Shift,"Heldt, Dora","Searle, Jamie Lee",Fiction,May,2013,German,Germany,Undirected
"Lizard Telepathy, Fox Telepathy","Henguchi, Yoshinori","Ramirez, David Michael",Poetry,July,2013,Japanese,Japan,Undirected
Third Shore: Chinese and English-Language Poets in Mutual Translation,"Herbert, W. N.","various, various",Poetry,Sept,2013,Chinese,China,Undirected
Les Trophees,"Heredia, Jose Maria","Anson, John",Poetry,Apr,2013,French,France,Undirected
Devil's Sanctuary,"Hermanson, Maire","Smith, Neil",Fiction,Sept,2013,Swedish,Sweden,Undirected
Miguel Hernandez,"Hernandez, Miguel","Share, Don",Poetry,Apr,2013,Spanish,Spain,Undirected
"Life's Good, Brother","Hikmet, Nazim","Blasing, Mutlu Konuk",Fiction,Jan,2013,Turkish,Turkey,Undirected
Summer of Dead Toys,"Hill, Antonio","McGloughlin, Laura",Fiction,June,2013,Spanish,Spain,Undirected
Rainbow Troops,"Hirata, Andrea","Kilbane, Angie",Fiction,Feb,2013,Indonesian,Indonesia,Undirected
Death of the Demon,"Holt, Anne","Bruce, Anne",Fiction,June,2013,Norwegian,Norway,Undirected
Ring,"Horem, Elisabeth","Kuntz, Jane",Fiction,Apr,2013,French,France,Undirected
Cold Sea Stories,"Huelle, Pawel","Jones, Antonia Lloyd",Fiction,June,2013,Polish,Poland,Undirected
Hen Who Dreamed She Could Fly,"Hwang, Sun-mi","Kim, Chi-Young",Fiction,Dec,2013,Korean,South Korea,Undirected
Magnolia & Lotus,"Hyesim, ","Haight, Ian",Poetry,June,2013,Korean,South Korea,Undirected
Short Tale of Shame,"Igov, Angel","Rodel, Angela",Fiction,May,2013,Bulgarian,Bulgaria,Undirected
Black Skies,"Indridason, Arnaldur","Cribb, Victoria",Fiction,Sept,2013,Icelandic,Iceland,Undirected
Daybreak,"Ingolfsson, Viktor Arnar","Arnadottir, Bjorg",Fiction,May,2013,Icelandic,Iceland,Undirected
Bullfight,"Inoue, Yahushi","Emmerich, Michael",Fiction,Dec,2013,Japanese,Japan,Undirected
Gray Men,"Ishikawa, Tomotake","Lloyd-Davies, Jonathan",Fiction,Feb,2013,Japanese,Japan,Undirected
Strangled in Pais,"Izner, Claude","Higgins, Jennifer",Fiction,Sept,2013,French,France,Undirected
Mehlis Report,"Jaber, Rabee","Abu-Zeid, Kareem James",Fiction,June,2013,Arabic,Lebanon,Undirected
"Me on the Floor, Bleeding","Jagerfeld, Jenny","Beard, Susan",Fiction,July,2013,Swedish,Sweden,Undirected
No One Writes Back,"Jang, Eun-jin","Jung, Yewon",Fiction,Nov,2013,Korean,South Korea,Undirected
When Adam Opens His Eyes,"Jang, Jung-il","Hwang, Sun-ae",Fiction,Nov,2013,Korean,South Korea,Undirected
Strange Bird,"Jansson, Anna","Norlen, Paul",Fiction,Sept,2013,Swedish,Sweden,Undirected
Her Not All Her,"Jelinek, Elfriede","Searls, Damion",Fiction,Mar,2013,German,Austria,Undirected
King's Hounds,"Jensen, Martin","Chace, Tara",Fiction,Oct,2013,Danish,Denmark,Undirected
Saving Mozart,"Jerusalmy, Raphael","Curtis, Howard",Fiction,Nov,2013,French,France,Undirected
Cusanus Game,"Jeschke, Wolfgang","Benjamin, Ross",Fiction,Oct,2013,German,Germany,Undirected
Dark Road,"Jian, Ma","Drew, Flora",Fiction,June,2013,Chinese,China,Undirected
Tongwan City,"Jianqun, Gao","Mu, Eric",Fiction,Oct,2013,Chinese,China,Undirected
Awakening to the Great Sleep War,"Jonke, Gert","Snook, Jean",Fiction,Jan,2013,German,Austria,Undirected
My Beautiful Bus,"Jouet, Jacques","Lamb, Eric",Fiction,Jan,2013,French,France,Undirected
My Son's Girlfriend,"Jung, Mi-kyung","Yu, Young-nan",Fiction,Nov,2013,Korean,South Korea,Undirected
"Most Ambiguous Sunday, and Other Stories","Jung, Young-moon","Jung, Yewon",Fiction,Nov,2013,Korean,South Korea,Undirected
Killer's Art,"Jungstedt, Mari","Nunnally, Tiina",Fiction,Oct,2013,Swedish,Sweden,Undirected
Death of a Nightingale,"Kaaberbol, Lene","Dyssegaard, Elisabeth",Fiction,Nov,2013,Danish,Denmark,Undirected
Fall of the Stone City,"Kadare, Ismail","Hodgson, John",Fiction,Feb,2013,French,Albania,Undirected
Little Grey Lies,"Kaddour, Hedi","Fagan, Teresa Lavender",Fiction,July,2013,French,France,Undirected
Summer Death,"Kallentoft, Mons","Smith, Neil",Fiction,June,2013,Swedish,Sweden,Undirected
18% Gray,"Karabashliev, Zachary","Rodel, Angela",Fiction,Jan,2013,Bulgarian,Bulgaria,Undirected
Back to Delphi,"Karystiani, Ioanna","Matsoukas, Konstantine",Fiction,Mar,2013,Greek,Greece,Undirected
Fireflies in Manhattan,"Kayam, Umar","McGlynn, John",Fiction,Jan,2013,Indonesian,Indonesia,Undirected
Javanese Gentry,"Kayam, Umar","Zhukov, Vladislav",Fiction,Jan,2013,Indonesian,Indonesia,Undirected
Fire Witness,"Kepler, Lars","Wideburg, Laura",Fiction,July,2013,Swedish,Sweden,Undirected
Cousin K,"Khadra, Yasmina","Nicholson-Smith, Donald",Fiction,Apr,2013,French,Algeria,Undirected
Bleiberg Project,"Khara, David","John, Simon",Fiction,Apr,2013,French,France,Undirected
Village Indian,"Khider, Abbas","McLaughlin, Donal",Fiction,Aug,2013,German,Iraq,Undirected
Noble V: Greylancer,"Kikuchi, Hideyuki","Nieda, Takami",Fiction,May,2013,Japanese,Japan,Undirected
Anatomy of a Night,"Kim, Anna","Schmidt, Bradley",Fiction,Apr,2013,German,Austria,Undirected
Stingray,"Kim, Joo-young","Vinciguerra, Inrae You",Fiction,Nov,2013,Korean,South Korea,Undirected
House with a Sunken Courtyard,"Kim, Won-il","Suh, Ji-moon",Fiction,Nov,2013,Korean,South Korea,Undirected
Lily la Tigresse,"Kimhi, Alona","Bilu, Dalya",Fiction,Nov,2013,Hebrew,Israel,Undirected
Goddess Chronicle,"Kirino, Natsuo","Copeland, Rebecca",Fiction,Aug,2013,Japanese,Japan,Undirected
I Hear Them Cry,"Kishimoto, Shiho","Mahtani, Raj",Fiction,Nov,2013,Japanese,Japan,Undirected
My Struggle: Book Two,"Knausgaard, Karl","Bartlett, Don",Fiction,May,2013,Norwegian,Norway,Undirected
Dinner,"Koch, Herman","Garrett, Sam",Fiction,Feb,2013,Dutch,Netherlands,Undirected
School for Patriots,"Kohan, Martin","Caistor, Nick",Fiction,Jan,2013,Spanish,Argentina,Undirected
Wasabi for Breakfast,"Kometani, Foumiko","Noguchi, Mary Goebel",Fiction,Apr,2013,Japanese,Japan,Undirected
End of the World in Breslau,"Krajewski, Marek","Stok, Danusia",Fiction,Apr,2013,Polish,Poland,Undirected
Child,"Kramer, Pascale","Black, Tamsin",Fiction,Jan,2013,French,Switzerland,Undirected
Bill,"Krasznahorkai, Laszlo","Szirtes, George",Fiction,Nov,2013,Hungarian,Hungary,Undirected
Seiobo There Below,"Krasznahorkai, Laszlo","Mulzet, Ottilie",Fiction,July,2013,Hungarian,Hungary,Undirected
"Datura, or A Delusion We All See","Krohn, Leena","Tupasela, J. Robert",Fiction,Nov,2013,Finnish,Finland,Undirected
Autobiography of a Corpse,"Krzhizhanovsky, Sigizmund","Turnbull, Joanne",Fiction,Dec,2013,Russian,Ukraine,Undirected
Distant Lands,"Kuciak, Agnieszka","Kovacik, Karen",Poetry,Mar,2013,Polish,Poland,Undirected
disUNITY,"Kudryavitsky, Anatoly","Ermacova, Carol",Fiction,Dec,2013,Russian,Russia,Undirected
Zelmenyaners,"Kulbak, Moyshe","Halkin, Hillel",Fiction,Jan,2013,Yiddish,Russia,Undirected
Last Train to Istanbul,"Kulin, Ayse","Baker, John",Fiction,Oct,2013,Turkish,Turkey,Undirected
